id;capacity;created_by;created_date;modified_by;modified_date
1;55118;protocol;9242;multi-byte;47005
2;22090;AGP;73566;Corporate;37771
3;29946;transparent Groves pixel;55793;multi-state Jewelery;45003
4;35336;Sleek open-source;88962;Island client-server PNG;26525
5;70520;Denar TCP;33311;Chief;84089
6;23788;neural-net;87252;Fantastic Operative Investment;62629
7;41354;Estates Account connect;39313;Corporate Regional reinvent;38579
8;71742;Vision-oriented;47475;Engineer green Cambridgeshire;82279
9;72215;Awesome Fish AGP;62996;invoice bleeding-edge;19452
10;14936;Highway paradigm THX;90107;sensor Park Diverse;78543
