id;store_name;address;tel;email;description;working_hour;manager
1;service-desk Uganda Indiana;Consultant;Administrator;Arvel_Hoeger44@gmail.com;portal Keyboard;transmit generation;Practical National Serbia
2;asymmetric;Corners Small Fantastic;optimize firewall invoice;Marta_Zulauf21@yahoo.com;Tuna;integrate encryption open-source;Optimized grid-enabled
3;Computer Organized;infrastructures auxiliary;facilitate matrix;Spencer32@gmail.com;synergies Technician Avon;backing;cyan payment
4;Mouse up;Steel Usability Steel;Steel Integrated Applications;Princess.Rutherford56@hotmail.com;virtual;intuitive Berkshire;ADP Concrete EXE
5;invoice Data generation;Cambridgeshire visionary forecast;parse Central Fresh;Roma.Mann72@hotmail.com;transmitting payment;orchid scale;deposit Synergized
6;Sleek Metal;Somali transmitting;Fuerte Manager;Lorenza36@gmail.com;solutions local;loyalty robust firewall;deposit
7;Grocery Account;transmit;Bike Chair;Bernardo.Schuster@hotmail.com;brand;intelligence auxiliary Ergonomic;implementation Maryland
8;Unbranded Tokelau;Park Throughway Handmade;synthesizing Iranian Awesome;Garland_Reilly55@hotmail.com;Seamless platforms Manager;Chips Account redefine;Rwanda transmitting hack
9;Berkshire;Peru;Tennessee Rustic;Mallie32@gmail.com;program AI;Mobility;Tugrik Baby
10;Movies Soft;initiatives Niue;Kansas static;Maurine.Schmeler@hotmail.com;Vietnam Chair Berkshire;Engineer interactive Morocco;transmitter
