id;category_name;description;slug;is_enable
1;Table;open-source;Integration;true
2;SCSI;Practical Chief programming;Chips Kentucky;true
3;Electronics;Soap Salad killer;Games;false
4;Program mesh;Designer array;Verde;true
5;North Fresh;pink Account;archive;true
6;Versatile bypass California;JSON Communications;connecting systems;false
7;open-source Avon;Borders invoice Sleek;Central;true
8;driver leading-edge TCP;synergistic blue Chief;Nebraska;true
9;Optimization;uniform Sleek;Franc;true
10;Armenian;Cambridgeshire;circuit;false
