id;color_name;description;hex_value
1;Monitored;Buckinghamshire;implementation backi
2;Lilangeni payment;Electronics;Riyal copy
3;Parkway;compressing orange to;Forward Innovative
4;card;Baby payment Buckinghamshire;Customer
5;Program Saint Designer;Idaho;unleash RAM
6;array International enable;Account Product Intelligent;Prairie
7;generating;Dynamic;calculating Guinea t
8;capacitor Chair;Quality Dollar;users multi-byte Cre
9;directional embrace synergies;interactive Frozen;connect standardizat
10;applications Up-sized wireless;world-class;deposit Bahamian
