id;order_status;delivery_address;total_price;created_by;created_date;modified_by;modified_date
1;compress Electronics;Steel;47876;Awesome Mexico;24473;Games Ergonomic;67046
2;Intelligent Personal Mountain;Automotive;41797;Plastic Account Account;94033;Delaware Chief Kwacha;70585
3;world-class Avon Dirham;Home Grenada;3239;initiatives;83648;Principal overriding;58736
4;override;calculating Points;23355;Brunei SMTP neural;12727;Cotton Paradigm executive;96661
5;Gold drive Pizza;generate;22129;bus Account Multi-tiered;17167;Cotton RSS;63804
6;parsing User-centric;Refined Liaison;73519;interface granular;75690;Port;43640
7;Tasty connecting;cultivate;28368;Face;65569;of;35766
8;fuchsia Account Rustic;SAS transmit;77121;Guatemala viral;75731;Delaware;82711
9;Intelligent Denmark;Vista Movies heuristic;87049;payment;86634;protocol tan;85417
10;Inverse;application Salad Metrics;80055;Soft;93858;Towels;77673
