id;name;product_code;product_sku;price;final_price;release_date_unix;release_type;designer;description;model_height;model_weight;material;slug;is_valid;is_enable;status;created_by;created_date;modified_by;modified_date
1;Steel;Assistant;cross-platform Principal;35091931;34790374;81149;Computer Legacy deposit;THX Car;Soap withdrawal;Metical Incredible;Union compressing;initiative Generic;Lao;false;true;Car;Rubber;95238;orange Practical;80588
2;distributed indigo JSON;Personal Steel;solutions;27331639;47574514;66238;Rubber Chips;Keyboard;Center black pixel;Account;Cheese Consultant online;project hacking efficient;mobile metrics;true;false;wireless sticky Harbors;Customer;62316;Gorgeous;6953
3;Ergonomic relationships back-end;solution Zimbabwe Games;Account transmit Incredible;88593033;84724454;90897;Algeria Rustic;Taka;wireless Practical Solutions;International Square;Frozen Sausages;invoice;CFA;false;true;executive;Assistant Berkshire program;64262;index Account Concrete;32973
4;transmit;pink Sausages;Computers Man;10558649;606594;19729;turquoise disintermediate;Cheese benchmark;portals Chicken;Pike;Account Representative markets;adapter Keyboard Industrial;Buckinghamshire;true;false;Iran;Concrete Venezuela JBOD;3769;orange;63521
5;redefine;Nebraska Producer;Regional;85561421;97479056;62248;Directives;Guinea-Bissau SCSI;Serbia;content Cordoba;Functionality multi-tasking;primary Plastic;Infrastructure Buckinghamshire Avon;true;true;clicks-and-mortar;Rubber aggregate indexing;37529;Concrete;35882
6;Integration up reinvent;Vision-oriented transform XML;IB;63437361;64895378;64492;maximize Chicken;Concrete blue;modular;neural back-end Infrastructure;copying Dakota Sterling;benchmark 1080p quantifying;relationships;true;false;quantify quantifying;generation regional;43321;Car;80616
7;navigate;invoice Marketing sticky;Creative navigate;7272124;77534583;31955;Ferry Tools Unbranded;Granite;Arabia Avon;forecast;calculating niches AI;Analyst port;incentivize Global;false;true;SCSI Rubber;Account Rubber;85310;Soap;87124
8;overriding Steel eyeballs;Soap;cross-media;20172334;21891508;91011;Central Throughway Future;New 24/7 Universal;Incredible compressing;foreground;Principal revolutionary yellow;well-modulated;system;true;false;Berkshire payment Cotton;solution Planner;55719;Leone;93268
9;Utah Inlet Assistant;microchip wireless;Account Brooks;22469319;10442619;92442;copy;Auto neural Russian;Handcrafted;Maine transition Bedfordshire;primary Configuration;PCI concept pixel;bluetooth Lodge;true;false;Central;Home;30207;mobile Barbuda;6789
10;Frozen;policy customized GB;scalable Kentucky Spur;88058878;95596090;75441;Cross-platform infrastructures;bi-directional Mexico;indexing Sports Shoes;interactive;indigo District Rustic;magenta Steel;plum connect Paradigm;false;false;Expanded Square framework;Inlet Paradigm neural-net;26403;hack Borders;81642
